Plot 1 FLIR USB Video,,,,,
,,,,,
,,,,Sp1.Value,Sp2.Value
Emissivity,,,,0.9499999881,0.9499999881
Distance,,,,1,1
Reflected temperature,,,,23.9999939,23.9999939
Location X,,,,19,104
Location Y,,,,74,120
Size X,,,,,
Size Y,,,,,
Surface (pixels),,,,,
,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value
4/24/2018,3:22:44 PM,134,0,28.39916229,31.25352287
4/24/2018,3:22:44 PM,405,0.271,28.36273384,31.24167442
4/24/2018,3:22:44 PM,675,0.541,28.27768898,31.19426537
4/24/2018,3:22:45 PM,215,1.081,28.33844185,31.19426537
4/24/2018,3:22:45 PM,486,1.352,28.4355793,31.26537132
4/24/2018,3:22:45 PM,756,1.622,28.35058784,31.22982407
4/24/2018,3:22:46 PM,26,1.892,28.28984261,31.11125183
4/24/2018,3:22:46 PM,567,2.433,28.24122238,31.09938812
4/24/2018,3:22:46 PM,837,2.703,28.18041801,31.11125183
4/24/2018,3:22:47 PM,107,2.973,28.26553535,31.14683533
4/24/2018,3:22:47 PM,378,3.244,28.25337982,31.13497543
4/24/2018,3:22:47 PM,918,3.784,28.26553535,31.15869522
4/24/2018,3:22:48 PM,188,4.054,28.33844185,31.19426537
4/24/2018,3:22:48 PM,459,4.325,28.38702011,31.24167442
4/24/2018,3:22:48 PM,729,4.595,28.26553535,31.2179718
4/24/2018,3:22:49 PM,270,5.136,28.21690559,31.17055321
4/24/2018,3:22:49 PM,540,5.406,28.20474434,31.2179718
4/24/2018,3:22:49 PM,810,5.676,28.27768898,31.15869522
4/24/2018,3:22:50 PM,80,5.946,28.25337982,31.11125183
4/24/2018,3:22:50 PM,621,6.487,28.24122238,31.14683533
4/24/2018,3:22:50 PM,891,6.757,28.26553535,31.19426537
4/24/2018,3:22:51 PM,161,7.027,28.24122238,31.09938812
4/24/2018,3:22:51 PM,432,7.298,28.21690559,31.09938812
4/24/2018,3:22:51 PM,702,7.568,28.16825485,31.09938812
4/24/2018,3:22:52 PM,243,8.109,28.19258118,31.09938812
4/24/2018,3:22:52 PM,513,8.379,28.25337982,31.09938812
4/24/2018,3:22:52 PM,783,8.649,28.27768898,31.12311554
4/24/2018,3:22:53 PM,53,8.919,28.25337982,31.11125183
4/24/2018,3:22:53 PM,594,9.46,28.16825485,31.08752441
4/24/2018,3:22:53 PM,864,9.73,28.27768898,31.09938812
4/24/2018,3:22:54 PM,134,10,28.21690559,31.09938812
4/24/2018,3:22:54 PM,405,10.271,28.27768898,31.15869522
4/24/2018,3:22:54 PM,675,10.541,28.24122238,31.15869522
4/24/2018,3:22:54 PM,945,10.811,28.20474434,31.13497543
4/24/2018,3:22:55 PM,215,11.081,28.27768898,31.15869522
4/24/2018,3:22:55 PM,486,11.352,28.22906494,31.13497543
4/24/2018,3:22:56 PM,26,11.892,28.16825485,31.13497543
4/24/2018,3:22:56 PM,297,12.163,28.19258118,31.14683533
4/24/2018,3:22:56 PM,567,12.433,28.13175392,31.0756588
4/24/2018,3:22:56 PM,837,12.703,28.25337982,31.08752441
4/24/2018,3:22:57 PM,107,12.973,28.20474434,31.08752441
4/24/2018,3:22:57 PM,378,13.244,28.09523964,31.00443649
4/24/2018,3:22:57 PM,648,13.514,28.18041801,31.09938812
4/24/2018,3:22:57 PM,918,13.784,28.24122238,31.08752441
4/24/2018,3:22:58 PM,459,14.325,28.27768898,31.04005241
4/24/2018,3:22:58 PM,729,14.595,28.21690559,31.00443649
4/24/2018,3:22:58 PM,999,14.865,28.21690559,31.00443649
4/24/2018,3:22:59 PM,270,15.136,28.18041801,30.98068619
4/24/2018,3:22:59 PM,540,15.406,28.27768898,31.06379128
4/24/2018,3:22:59 PM,810,15.676,28.27768898,31.09938812
4/24/2018,3:23:00 PM,80,15.946,28.30199432,31.09938812
4/24/2018,3:23:00 PM,621,16.487,28.30199432,31.14683533
4/24/2018,3:23:00 PM,891,16.757,28.31414413,31.14683533
4/24/2018,3:23:01 PM,161,17.027,28.32629395,31.15869522
4/24/2018,3:23:01 PM,432,17.298,28.35058784,31.14683533
4/24/2018,3:23:01 PM,702,17.568,28.39916229,31.20611954
4/24/2018,3:23:01 PM,972,17.838,28.27768898,31.14683533
4/24/2018,3:23:02 PM,243,18.109,28.26553535,31.18240929
4/24/2018,3:23:02 PM,513,18.379,28.33844185,31.13497543
4/24/2018,3:23:03 PM,53,18.919,28.28984261,31.14683533
4/24/2018,3:23:03 PM,324,19.19,28.25337982,31.08752441
4/24/2018,3:23:03 PM,594,19.46,28.18041801,31.06379128
4/24/2018,3:23:03 PM,864,19.73,28.15608788,31.06379128
4/24/2018,3:23:04 PM,134,20,28.24122238,31.0756588
4/24/2018,3:23:04 PM,405,20.271,28.31414413,31.13497543
4/24/2018,3:23:04 PM,945,20.811,28.28984261,31.19426537
4/24/2018,3:23:05 PM,215,21.081,28.31414413,31.20611954
4/24/2018,3:23:05 PM,486,21.352,28.32629395,31.15869522
4/24/2018,3:23:05 PM,756,21.622,28.32629395,31.18240929
4/24/2018,3:23:06 PM,26,21.892,28.31414413,31.18240929
