Plot 1 FLIR USB Video,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,25,26,25,268,247,228,95,230,224,264
Location Y,,,,62,120,173,65,114,181,117,61,115,175
Size X,,,,,,,,,,,,,
Size Y,,,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
5/7/2018,1:56:09 PM,513,0,40.85661697,45.61582565,38.46529388,29.57890511,28.80666924,28.0170784,26.59438515,26.17401505,26.45855331,26.98861694
5/7/2018,1:56:09 PM,783,0.27,40.81274033,45.61582565,38.45411682,29.56687927,28.80666924,28.0170784,26.61906433,26.18640137,26.50796509,26.97631836
5/7/2018,1:56:10 PM,54,0.541,40.92240524,45.71096039,38.56583786,29.62700081,28.87928391,28.05364037,26.66840744,26.2111702,26.47090721,27.06238556
5/7/2018,1:56:10 PM,324,0.811,40.86758423,45.74265671,38.53233337,29.65104103,28.92766953,28.10237122,26.71772957,26.248312,26.52031517,27.17294884
5/7/2018,1:56:10 PM,864,1.351,40.9114418,45.7215271,38.56583786,29.65104103,28.90347862,28.05364037,26.69307137,26.26068878,26.52031517,27.06238556
5/7/2018,1:56:11 PM,135,1.622,40.90047836,45.74265671,38.57700729,29.60295677,28.85508347,28.02926636,26.68074036,26.2235508,26.45855331,27.06238556
5/7/2018,1:56:11 PM,405,1.892,40.93336868,45.73209381,38.57700729,29.72313309,28.91557503,28.06582451,26.71772957,26.2359314,26.50796509,27.06238556
5/7/2018,1:56:11 PM,675,2.162,40.90047836,45.84825897,38.67746353,29.65104103,28.97603416,28.10237122,26.73005676,26.248312,26.55735588,27.12382317
5/7/2018,1:56:11 PM,945,2.432,41.03197861,45.82714462,38.57700729,29.69910812,28.9518528,28.07800865,26.70540047,26.26068878,26.54500961,27.06238556
5/7/2018,1:56:12 PM,216,2.703,40.92240524,45.85881424,38.56583786,29.68709373,29.01229286,28.15108109,26.74238205,26.26068878,26.59438515,27.11153793
5/7/2018,1:56:12 PM,486,2.973,40.85661697,45.81658936,38.57700729,29.66305923,28.96394348,28.09018898,26.71772957,26.2359314,26.55735588,27.06238556
5/7/2018,1:56:13 PM,26,3.513,40.95528793,45.82714462,38.62166214,29.62700081,28.91557503,28.10237122,26.65607452,26.26068878,26.52031517,27.07467461
5/7/2018,1:56:13 PM,297,3.784,40.90047836,45.81658936,38.58817291,29.60295677,28.92766953,28.07800865,26.64373779,26.2111702,26.49561501,27.03780174
5/7/2018,1:56:13 PM,567,4.054,40.97720337,45.82714462,38.61050034,29.71112061,28.93976212,28.11454964,26.69307137,26.27306557,26.55735588,27.13610649
5/7/2018,1:56:13 PM,837,4.324,41.02102661,45.87992477,38.65514755,29.67507744,28.96394348,28.12672806,26.74238205,26.248312,26.53266335,27.09925079
5/7/2018,1:56:14 PM,108,4.595,41.0538826,45.90103149,38.67746353,29.73514366,28.93976212,28.13890457,26.71772957,26.27306557,26.55735588,27.12382317
5/7/2018,1:56:14 PM,378,4.865,41.06483078,45.8377037,38.59933853,29.63902283,28.86718369,28.07800865,26.65607452,26.18640137,26.47090721,27.0132122
5/7/2018,1:56:14 PM,918,5.405,40.96624374,45.92213058,38.72208405,29.63902283,28.91557503,28.07800865,26.70540047,26.19878578,26.55735588,27.08696365
5/7/2018,1:56:15 PM,189,5.676,40.98815918,45.96432495,38.65514755,29.71112061,28.96394348,28.10237122,26.73005676,26.26068878,26.55735588,27.11153793
5/7/2018,1:56:15 PM,459,5.946,41.0429306,45.94322968,38.7443924,29.68709373,28.91557503,28.16325569,26.73005676,26.248312,26.50796509,27.0500946
5/7/2018,1:56:15 PM,999,6.486,41.21803665,39.30073929,36.78883743,29.84318733,30.16672134,35.51360321,34.66371918,26.43383789,35.33034515,28.43076515
5/7/2018,1:56:16 PM,270,6.757,41.20709991,45.99596405,38.78899002,31.16762352,32.53607941,32.98098373,27.2834034,27.11153793,28.52788925,35.4678154
5/7/2018,1:56:16 PM,540,7.027,41.1414566,46.04867554,38.77783966,29.95113182,29.98709106,28.28492737,26.91480255,26.37203026,26.71772957,28.52788925
5/7/2018,1:56:16 PM,810,7.297,41.0429306,45.99596405,38.76669312,31.65310097,31.34546661,29.0002079,26.87787628,29.30197144,27.07467461,35.23861313
5/7/2018,1:56:17 PM,81,7.568,41.22897339,46.02759171,38.81128311,30.57287216,29.41041565,28.45505524,26.92710876,26.55735588,26.77935028,28.68554306
5/7/2018,1:56:17 PM,621,8.108,41.19615936,46.09082794,38.83357239,30.40580177,29.28991508,28.39432335,26.96401787,26.50796509,26.76702881,28.50361633
5/7/2018,1:56:17 PM,891,8.378,41.283638,46.16456604,38.88927841,30.36997223,29.32607841,28.47933769,27.0132122,26.50796509,26.82862473,28.47933769
5/7/2018,1:56:18 PM,162,8.649,41.23990631,46.11190033,38.94495773,34.31747818,30.32217979,28.47933769,26.97631836,26.58204269,26.82862473,28.79456139
5/7/2018,1:56:18 PM,432,8.919,41.31642914,46.16456604,38.83357239,34.72133255,30.41774368,34.01660156,26.93941307,27.03780174,27.27113724,35.10088348
5/7/2018,1:56:18 PM,702,9.189,41.19615936,46.1750946,38.90041351,34.77891541,31.16762352,34.38680649,26.92710876,29.06062317,27.27113724,35.0089798
5/7/2018,1:56:18 PM,972,9.459,41.34920883,46.24878693,38.82242584,30.91819191,35.1812439,35.35326767,27.02550697,28.29708862,34.73284912,35.23861313
5/7/2018,1:56:19 PM,243,9.73,41.3819809,46.19615555,38.82242584,35.10088348,31.54670143,30.23849678,26.96401787,34.51380157,27.87071609,35.79940033
5/7/2018,1:56:19 PM,513,10,41.33828354,46.16456604,38.83357239,35.06642914,32.32476044,29.92715263,26.86556625,34.67524338,27.87071609,35.69659042
5/7/2018,1:56:20 PM,54,10.541,41.34920883,46.20668411,38.8781395,34.53688049,33.14447784,29.93914223,26.91480255,34.85948563,27.98050499,35.79940033
5/7/2018,1:56:20 PM,324,10.811,41.34920883,46.23826218,38.83357239,31.08453751,34.97449875,34.77891541,26.95171547,28.66130257,32.77044678,35.70801926
5/7/2018,1:56:20 PM,594,11.081,41.39290237,46.24878693,38.91155243,35.36472702,34.20184326,30.32217979,26.90249634,28.81877518,27.83409691,35.91353607
5/7/2018,1:56:21 PM,135,11.622,41.41474533,46.24878693,38.90041351,31.12015343,34.92850494,33.2844429,26.96401787,30.46549797,30.19065094,36.2211647
5/7/2018,1:56:21 PM,405,11.892,41.34920883,46.30139923,38.94495773,34.94000626,31.33361816,29.38632584,27.0132122,28.564291,27.34472275,35.1353302
5/7/2018,1:56:21 PM,675,12.162,41.40382385,46.30139923,38.94495773,30.64439964,33.3427124,28.57642174,26.98861694,26.60672569,27.0500946,28.90347862
5/7/2018,1:56:21 PM,945,12.432,41.51298904,46.36450577,39.01174164,31.08453751,34.54841614,28.67342377,27.0500946,26.61906433,28.21193886,29.3622303
5/7/2018,1:56:22 PM,216,12.703,41.54571915,46.38553238,39.05624771,30.73970413,31.10828209,28.68554306,27.08696365,26.65607452,27.0500946,29.07270241
5/7/2018,1:56:22 PM,486,12.973,41.52389908,46.38553238,39.02286911,31.14389038,35.12385178,33.00435257,27.03780174,27.98050499,32.86406326,36.2211647
5/7/2018,1:56:23 PM,26,13.513,41.46933365,46.32243729,39.06737137,30.93008041,34.12083817,31.07266235,26.96401787,27.63859749,34.77891541,35.86789322
5/7/2018,1:56:23 PM,297,13.784,41.41474533,46.30139923,39.03399658,34.92850494,30.77542305,28.70977783,26.97631836,27.66305351,27.0500946,30.3580246
5/7/2018,1:56:23 PM,567,14.054,41.37105942,46.26983261,38.96722412,34.87099457,30.89440918,28.68554306,26.92710876,31.08453751,26.98861694,33.36601257
5/7/2018,1:56:23 PM,837,14.324,41.44750214,46.20668411,38.96722412,31.00139427,34.90550613,30.33412933,26.93941307,27.12382317,34.75588608,35.87930679
5/7/2018,1:56:24 PM,108,14.595,41.45841599,46.30139923,39.04512405,34.13241196,34.52534103,32.10129166,26.98861694,34.77891541,28.27276611,36.09592819
5/7/2018,1:56:24 PM,378,14.865,41.49116135,46.2908783,38.95609283,32.3365097,33.9238739,30.40580177,27.02550697,34.81345367,28.27276611,36.08453369
5/7/2018,1:56:24 PM,918,15.405,41.40382385,46.28035736,38.95609283,31.93636513,34.20184326,30.44162369,26.97631836,34.72133255,28.37002182,35.99336624
